title,Award Number,year,creator
HSV INFECTION IN HIV INFECTED INDIVIDUALS,P01AI030731,1998,"COREY, LAWRENCE;"
CORE--LABORATORY,P01AI030731,1998,"MORROW, RHODA A;"
CLINICAL EPIDEMIOLOGY &PATHOGENESIS OF ASYMPTOMATIC HSV,P01AI030731,1998,"COREY, LAWRENCE;"
CORE--CLINICAL,P01AI030731,1999,"WALD, ANNA;"
HSV INFECTION IN HIV INFECTED INDIVIDUALS,P01AI030731,1999,"COREY, LAWRENCE;"
CORE--LABORATORY,P01AI030731,1999,"MORROW, RHODA A;"
CLINICAL EPIDEMIOLOGY &PATHOGENESIS OF ASYMPTOMATIC HSV,P01AI030731,1999,"COREY, LAWRENCE;"
CLINICAL EPIDEMIOLOGY &PATHOGENESIS OF ASYMPTOMATIC HSV,P01AI030731,2000,"COREY, LAWRENCE;"
HSV INFECTION IN HIV INFECTED INDIVIDUALS,P01AI030731,2000,"COREY, LAWRENCE;"
CORE--LABORATORY,P01AI030731,2000,"MORROW, RHODA A;"
CORE--CLINICAL,P01AI030731,2000,"WALD, ANNA;"
HSV INFECTION IN HIV INFECTED INDIVIDUALS,P01AI030731,2001,"COREY, LAWRENCE;"
CORE--LABORATORY,P01AI030731,2001,"MORROW, RHODA A;"
CLINICAL EPIDEMIOLOGY &PATHOGENESIS OF ASYMPTOMATIC HSV,P01AI030731,2001,"COREY, LAWRENCE;"
CORE--CLINICAL,P01AI030731,2001,"WALD, ANNA;"
CLINICAL EPIDEMIOLOGY &PATHOGENESIS OF ASYMPTOMATIC HSV,P01AI030731,2002,"COREY, LAWRENCE;"
HSV INFECTION IN HIV INFECTED INDIVIDUALS,P01AI030731,2002,"COREY, LAWRENCE;"
CORE--LABORATORY,P01AI030731,2002,"MORROW, RHODA A;"
CORE--CLINICAL,P01AI030731,2002,"WALD, ANNA;"
Clinical Epidemiology &Pathogenesis of Asymptomatic HSV,P01AI030731,2003,"COREY, LAWRENCE;"
Clinical Epidemiology &Pathogenesis of Asymptomatic HSV,P01AI030731,2004,"COREY, LAWRENCE;"
Clinical Epidemiology &Pathogenesis of Asymptomatic HSV,P01AI030731,2005,"COREY, LAWRENCE;"
Clinical Epidemiology &Pathogenesis of Asymptomatic HSV,P01AI030731,2006,"COREY, LAWRENCE;"
Clinical Epidemiology &Pathogenesis of Asymptomatic HSV,P01AI030731,2007,"COREY, LAWRENCE;"
Clinical Epidemiology and Pathogenesis of Asymptomatic HSV,P01AI030731,2008,"COREY, LAWRENCE;"
Local Determinants of HSV-2 Shedding in Humans,P01AI030731,2008,"KOELLE, DAVID M;"
Clinical Core,P01AI030731,2008,"WALD, ANNA;"
Laboratory Core,P01AI030731,2008,"COREY, LAWRENCE;"
Biostatistics and Data Management Core,P01AI030731,2008,"MAGARET, AMALIA S.;"
Mechanisms of Reactivation and Clearance of Mucosal HSV Infection,P01AI030731,2008,"COREY, LAWRENCE;"
Laboratory Core,P01AI030731,2009,"COREY, LAWRENCE;"
Local Determinants of HSV-2 Shedding in Humans,P01AI030731,2009,"KOELLE, DAVID M;"
Mechanisms of Reactivation and Clearance of Mucosal HSV Infection,P01AI030731,2009,"COREY, LAWRENCE;"
Biostatistics and Data Management Core,P01AI030731,2009,"MAGARET, AMALIA S.;"
Clinical Core,P01AI030731,2009,"WALD, ANNA;"
Clinical Epidemiology and Pathogenesis of Asymptomatic HSV,P01AI030731,2009,"COREY, LAWRENCE;"
Clinical Core,P01AI030731,2010,"WALD, ANNA;"
Biostatistics and Data Management Core,P01AI030731,2010,"MAGARET, AMALIA S.;"
Local Determinants of HSV-2 Shedding in Humans,P01AI030731,2010,"KOELLE, DAVID M;"
Clinical Epidemiology and Pathogenesis of Asymptomatic HSV,P01AI030731,2010,"WALD, ANNA;"
Laboratory Core,P01AI030731,2010,"COREY, LAWRENCE;"
Mechanisms of Reactivation and Clearance of Mucosal HSV Infection,P01AI030731,2010,"COREY, LAWRENCE;"
Clinical Epidemiology and Pathogenesis of Asymptomatic HSV,P01AI030731,2011,"WALD, ANNA;"
Clinical Core,P01AI030731,2011,"WALD, ANNA;"
Biostatistics and Data Management Core,P01AI030731,2011,"MAGARET, AMALIA S.;"
Local Determinants of HSV-2 Shedding in Humans,P01AI030731,2011,"KOELLE, DAVID M;"
Laboratory Core,P01AI030731,2011,"COREY, LAWRENCE;"
Mechanisms of Reactivation and Clearance of Mucosal HSV Infection,P01AI030731,2011,"COREY, LAWRENCE;"
Laboratory Core,P01AI030731,2012,"COREY, LAWRENCE;"
Mechanisms of Reactivation and Clearance of Mucosal HSV Infection,P01AI030731,2012,"COREY, LAWRENCE;"
Clinical Core,P01AI030731,2012,"WALD, ANNA;"
Biostatistics and Data Management Core,P01AI030731,2012,"MAGARET, AMALIA S.;"
Local Determinants of HSV-2 Shedding in Humans,P01AI030731,2012,"KOELLE, DAVID M;"
Clinical Epidemiology and Pathogenesis of Asymptomatic HSV,P01AI030731,2012,"WALD, ANNA;"
NATURAL HISTORY OF PERINATALLY ACQUIRED HIV INFECTION,P01AI030795,1990,"LALLEMANT, MARC;"
NATURAL HISTORY OF HIV INFECTIONS IN SENEGAL,P01AI030795,1990,"KANKI, PHYLLIS J.;"
COMPARITIVE STUDIES OF HIV DISEASE IN ADULTS,P01AI030795,1990,"MARLINK, RICHARD;"
VIROLOGY AND CLINICAL LABORATORY CORE,P01AI030795,1990,"KANKI, PHYLLIS;"
HIV-2 INFECTION AND NATURAL HISTORY IN CHILDREN,P01AI030795,1990,"KANKI, PHYLLIS;"
DATA MANAGEMENT AND ANALYSIS CORE,P01AI030795,1990,"HSIEH, CHUNG-CHENG;"
NATURAL HISTORY OF PERINATALLY ACQUIRED HIV INFECTION,P01AI030795,1991,"LALLEMANT, MARC;"
COMPARITIVE STUDIES OF HIV DISEASE IN ADULTS,P01AI030795,1991,"MARLINK, RICHARD;"
VIROLOGY AND CLINICAL LABORATORY CORE,P01AI030795,1991,"KANKI, PHYLLIS;"
NATURAL HISTORY OF HIV INFECTIONS IN SENEGAL,P01AI030795,1991,"KANKI, PHYLLIS J.;"
HIV-2 INFECTION AND NATURAL HISTORY IN CHILDREN,P01AI030795,1991,"KANKI, PHYLLIS;"
DATA MANAGEMENT AND ANALYSIS CORE,P01AI030795,1991,"HSIEH, CHUNG-CHENG;"
VIROLOGY AND CLINICAL LABORATORY CORE,P01AI030795,1992,"KANKI, PHYLLIS;"
DATA MANAGEMENT AND ANALYSIS CORE,P01AI030795,1992,"HSIEH, CHUNG-CHENG;"
HIV 2 INFECTION AND NATURAL HISTORY IN CHILDREN,P01AI030795,1992,"KANKI, PHYLLIS;"
NATURAL HISTORY OF HIV INFECTIONS IN SENEGAL,P01AI030795,1992,"KANKI, PHYLLIS J.;"
NATURAL HISTORY OF PERINATALLY ACQUIRED HIV INFECTION,P01AI030795,1992,"LALLEMANT, MARC;"
COMPARITIVE STUDIES OF HIV DISEASE IN ADULTS,P01AI030795,1992,"MARLINK, RICHARD;"
HIV 2 INFECTION AND NATURAL HISTORY IN CHILDREN,P01AI030795,1993,"KANKI, PHYLLIS;"
NATURAL HISTORY OF PERINATALLY ACQUIRED HIV INFECTION,P01AI030795,1993,"LALLEMANT, MARC;"
COMPARITIVE STUDIES OF HIV DISEASE IN ADULTS,P01AI030795,1993,"MARLINK, RICHARD;"
DATA MANAGEMENT AND ANALYSIS CORE,P01AI030795,1993,"HSIEH, CHUNG-CHENG;"
VIROLOGY AND CLINICAL LABORATORY CORE,P01AI030795,1993,"KANKI, PHYLLIS;"
NATURAL HISTORY OF HIV INFECTIONS IN SENEGAL,P01AI030795,1993,"KANKI, PHYLLIS J.;"
NATURAL HISTORY OF HIV INFECTIONS IN SENEGAL,P01AI030795,1994,"KANKI, PHYLLIS J.;"
HIV 2 INFECTION AND NATURAL HISTORY IN CHILDREN,P01AI030795,1994,"KANKI, PHYLLIS;"
VIROLOGY AND CLINICAL LABORATORY CORE,P01AI030795,1994,"KANKI, PHYLLIS;"
COMPARITIVE STUDIES OF HIV DISEASE IN ADULTS,P01AI030795,1994,"MARLINK, RICHARD;"
DATA MANAGEMENT AND ANALYSIS CORE,P01AI030795,1994,"HSIEH, CHUNG-CHENG;"
NATURAL HISTORY OF PERINATALLY ACQUIRED HIV INFECTION,P01AI030795,1994,"LALLEMANT, MARC;"
CELL DIFFERENTIATION STUDIES IN CANCER IMMUNOBIOLOGY,P01AI030879,1990,"COOPER, MAX D;"
CELL DIFFERENTIATION STUDIES IN CANCER IMMUNOBIOLOGY,P01AI030879,1991,"COOPER, MAX D;"
CELL DIFFERENTIATION STUDIES IN CANCER IMMUNOBIOLOGY,P01AI030879,1992,"COOPER, MAX D;"
CELL DIFFERENTIATION STUDIES IN CANCER IMMUNOBIOLOGY,P01AI030879,1993,"COOPER, MAX D;"
CELL DIFFERENTIATION STUDIES IN CANCER IMMUNOBIOLOGY,P01AI030879,1994,"COOPER, MAX D;"
CHLAMYDIA/PID PROGRAM PROJECT,P01AI033118,1992,"STAMM, WALTER E;"
CHLAMYDIA/PID PROGRAM PROJECT,P01AI033118,1993,"STAMM, WALTER E;"
CHLAMYDIA AND PELVIC INFLAMMATORY DISEASE,P01AI033118,1994,"STAMM, WALTER E;"
ACUTE PELVIC INFLAMMATORY DISEASE IN KENYA,P01AI033118,1995,
PATHWAYS TO THE PRODUCTION OF DISEASE-RELATED AUTOANTIBO,P01AI033180,1992,"STOLLAR, BERNARD D;"
B CELL ORIGINS OF VIRUS-INDUCED AUTOANTIBODIES AND MECHANISM OF THEIR INDUCTION,P01AI033180,1992,"SCHWARTZ, ROBERT S;"
PATHWAY TO PRODUCTION OF DISEASE-RELATED AUTOANTIBODY,P01AI033180,1993,"STOLLAR, BERNARD D;"
B CELL ORIGINS OF VIRUS-INDUCED AUTOANTIBODIES AND MECHANISM OF THEIR INDUCTION,P01AI033180,1993,"SCHWARTZ, ROBERT S;"
B CELL ORIGINS OF VIRUS-INDUCED AUTOANTIBODIES AND MECHANISM OF THEIR INDUCTION,P01AI033180,1994,"SCHWARTZ, ROBERT S;"
PATHWAYS TO PRODUCTION OF DISEASE RELATED AUTOANTIBODIES,P01AI033180,1994,"STOLLAR, BERNARD D;"
PATHWAYS TO PRODUCTION OF DISEASE RELATED AUTOANTIBODIES,P01AI033180,1995,"STOLLAR, BERNARD D;"
CELL BIOLOGY OF MYOBACTERIUM AVIUM INFECTION,P01AI033348,1993,"BROWN, ERIC J.;"
CELL BIOLOGY OF MYOBACTERIUM AVIUM INFECTION,P01AI033348,1994,"BROWN, ERIC J.;"
CELL BIOLOGY OF MYOBACTERIUM AVIUM INFECTION,P01AI033348,1995,"BROWN, ERIC J.;"
INTRACELLULAR SURVIVAL STRATEGIES OF THE MYCOBACTERIUM AVIUM COMPLEX,P01AI033348,1996,"RUSSEL, DAVID G;"
RECOGNITION OF MYCOBACTERIUM AVIUM COMPLEX BY HOST CELLS,P01AI033348,1996,"BROWN, ERIC J;"
T CELLS AND MACROPHAGES IN MYCOBACTERIUM AVIUM INFECTIONS,P01AI033348,1996,"ALLEN, PAUL M;"
CORE--CLINICAL RESEARCH,P01AI033348,1996,"POWDERLY, WILLIAM G;"
INTRACELLULAR SURVIVAL STRATEGIES OF THE MYCOBACTERIUM AVIUM COMPLEX,P01AI033348,1997,"RUSSEL, DAVID G;"
CORE--CLINICAL RESEARCH,P01AI033348,1997,"POWDERLY, WILLIAM G.;"
CELL BIOLOGY OF MYOBACTERIUM AVIUM INFECTION,P01AI033348,1997,"BROWN, ERIC J.;"
T CELLS AND MACROPHAGES IN MYCOBACTERIUM AVIUM INFECTIONS,P01AI033348,1997,"ALLEN, PAUL M;"
RECOGNITION OF MYCOBACTERIUM AVIUM COMPLEX BY HOST CELLS,P01AI033348,1997,"BROWN, ERIC J.;"
RECOGNITION OF MYCOBACTERIUM AVIUM COMPLEX BY HOST CELLS,P01AI033348,1998,"BROWN, ERIC J.;"
DYNAMIC INTERACTIONS BETWEEN MYCOBACTERIA AVIUM AND THE IMMUNE SYSTEM,P01AI033348,1998,"ALLEN, PAUL M;"
CELL BIOLOGY OF MYCOBACTERIUM AVIUM INFECTION,P01AI033348,1998,"BROWN, ERIC J.;"
CELL BIOLOGY OF MYCOBACTERIUM AVIUM INFECTION,P01AI033348,1998,"BROWN, ERIC J.;"
CORE--CLINICAL FACILITY,P01AI033348,1998,"POWDERLY, WILLIAM G.;"
DYNAMIC INTERACTIONS BETWEEN MYCOBACTERIA AVIUM AND THE IMMUNE SYSTEM,P01AI033348,1998,"ALLEN, PAUL M;"
CORE--CLINICAL FACILITY,P01AI033348,1998,"POWDERLY, WILLIAM G.;"
CELL BIOLOGY OF MYCOBACTERIUM INFECTION,P01AI033348,1998,"RUSSEL, DAVID G;"
RECOGNITION OF MYCOBACTERIUM AVIUM COMPLEX BY HOST CELLS,P01AI033348,1998,"BROWN, ERIC J.;"
CELL BIOLOGY OF MYCOBACTERIUM INFECTION,P01AI033348,1998,"RUSSEL, DAVID G;"
CELL BIOLOGY OF MYCOBACTERIUM AVIUM INFECTION,P01AI033348,1999,"BROWN, ERIC J.;"
CORE--CLINICAL FACILITY,P01AI033348,1999,"POWDERLY, WILLIAM G.;"
CELL BIOLOGY OF MYCOBACTERIUM INFECTION,P01AI033348,1999,"RUSSEL, DAVID G;"
DYNAMIC INTERACTIONS BETWEEN MYCOBACTERIA AVIUM AND THE IMMUNE SYSTEM,P01AI033348,1999,"ALLEN, PAUL M;"
CELL BIOLOGY OF MYCOBACTERIUM INFECTION,P01AI033348,2000,"RUSSEL, DAVID G;"
CORE--CLINICAL FACILITY,P01AI033348,2000,"POWDERLY, WILLIAM G.;"
CELL BIOLOGY OF MYCOBACTERIUM AVIUM INFECTION,P01AI033348,2000,"BROWN, ERIC J.;"
RECOGNITION OF MYCOBACTERIUM AVIUM COMPLEX BY HOST CELLS,P01AI033348,2000,"BROWN, ERIC J.;"
DYNAMIC INTERACTIONS BETWEEN MYCOBACTERIA AVIUM AND THE IMMUNE SYSTEM,P01AI033348,2000,"ALLEN, PAUL M;"
RECOGNITION OF MYCOBACTERIUM AVIUM COMPLEX BY HOST CELLS,P01AI033348,2001,"BROWN, ERIC J.;"
DYNAMIC INTERACTIONS BETWEEN MYCOBACTERIA AVIUM AND THE IMMUNE SYSTEM,P01AI033348,2001,"ALLEN, PAUL M;"
CORE--CLINICAL FACILITY,P01AI033348,2001,"POWDERLY, WILLIAM G.;"
CELL BIOLOGY OF MYCOBACTERIUM INFECTION,P01AI033348,2001,"RUSSEL, DAVID G;"
CELL BIOLOGY OF MYCOBACTERIUM AVIUM INFECTION,P01AI033348,2001,"BROWN, ERIC J.;"
CELL BIOLOGY OF MYCOBACTERIUM AVIUM INFECTION,P01AI033348,2002,"BROWN, ERIC J.;"
RECOGNITION OF MYCOBACTERIUM AVIUM COMPLEX BY HOST CELLS,P01AI033348,2002,"BROWN, ERIC J.;"
CELL BIOLOGY OF MYCOBACTERIUM INFECTION,P01AI033348,2002,"RUSSEL, DAVID G;"
DYNAMIC INTERACTIONS BETWEEN MYCOBACTERIA AVIUM AND THE IMMUNE SYSTEM,P01AI033348,2002,"ALLEN, PAUL M;"
CORE--CLINICAL FACILITY,P01AI033348,2002,"POWDERLY, WILLIAM G.;"
MUCOSAL IMMUNITY IN THE HUMAN FEMALE REPRODUCTIVE TRACT,P01AI034478,1994,"WIRA, CHARLES ROBERT;"
MUCOSAL IMMUNITY IN THE HUMAN FEMALE REPRODUCTIVE TRACT,P01AI034478,1995,"WIRA, CHARLES ROBERT;"
IMMUNOLOGICAL ROLE OF EPITHELIAL CELLS,P01AI034478,1996,"WIRA, CHARLES R;"
IMMUNOLOGICAL ROLE OF EPITHELIAL CELLS,P01AI034478,1997,"WIRA, CHARLES ROBERT;"
MUCOSAL IMMUNITY IN THE HUMAN FEMALE REPRODUCTIVE TRACT,P01AI034478,1997,"WIRA, CHARLES ROBERT;"
MUCOSAL IMMUNITY IN THE HUMAN FEMALE REPRODUCTIVE TRACT,P01AI034478,1998,"WIRA, CHARLES ROBERT;"
IMMUNOLOGICAL ROLE OF EPITHELIAL CELLS,P01AI034478,1998,
MUCOSAL IMMUNITY IN THE HUMAN FEMALE REPRODUCTIVE TRACT,P01AI034478,1999,"WIRA, CHARLES ROBERT;"
MUCOSAL IMMUNITY IN THE HUMAN FEMALE REPRODUCTIVE TRACT,P01AI034478,2000,"WIRA, CHARLES ROBERT;"
MUCOSAL IMMUNITY IN THE HUMAN FEMALE REPRODUCTIVE TRACT,P01AI034478,2001,"WIRA, CHARLES ROBERT;"
CORE--CLINICAL,P01AI034582,1993,"ZENILMAN, JONATHAN M;"
CORE--CLINICAL,P01AI034582,1994,"ZENILMAN, JONATHAN M;"
CORE--CLINICAL,P01AI034582,1995,"ZENILMAN, JONATHAN M;"
CORE--CLINICAL,P01AI034582,1996,"ZENILMAN, JONATHAN M;"
CORE--CLINICAL,P01AI034582,1997,"ZENILMAN, JONATHAN M;"
CORE--CLINICAL,P01AI034582,1998,"ZENILMAN, JONATHAN M;"
HLA ANTIGEN AND ANTIBODY RESPONSE TO C TRACHOMATIS--RISK FOR C SALPINGITIS,P01AI034616,1996,"BRUNHAM, ROBERT C;"
HLA ANTIGEN AND ANTIBODY RESPONSE TO C TRACHOMATIS--RISK FOR C SALPINGITIS,P01AI034616,1997,"BRUNHAM, ROBERT C;"
HLA ANTIGEN AND ANTIBODY RESPONSE TO C TRACHOMATIS--RISK FOR C SALPINGITIS,P01AI034616,1998,"BRUNHAM, ROBERT C;"
ENHANCED MICROSCOPY AND ANALYSIS OF VIRUSES,P01AI035212,1994,"BAKER, TIMOTHY;"
STRUCTURE AND FUNCTION OF CHIMERIC VIRUSES,P01AI035212,1994,"JOHNSON, JOHN E;"
ENHANCED MICROSCOPY AND ANALYSIS OF VIRUSES,P01AI035212,1995,"BAKER, TIMOTHY;"
STRUCTURE AND FUNCTION OF CHIMERIC VIRUSES,P01AI035212,1995,"JOHNSON, JOHN E;"
ENHANCED MICROSCOPY AND ANALYSIS OF VIRUSES,P01AI035212,1996,"BAKER, TIMOTHY;"
STRUCTURE AND FUNCTION OF CHIMERIC VIRUSES,P01AI035212,1996,"JOHNSON, JOHN E;"
ENHANCED MICROSCOPY AND ANALYSIS OF VIRUSES,P01AI035212,1997,"BAKER, TIMOTHY S;"
STRUCTURE AND FUNCTION OF CHIMERIC VIRUSES,P01AI035212,1997,"JOHNSON, JOHN E;"
USE OF THE SHIV AND SIV MODELS OF AIDS FOR HIV VACCINE DEVELOPMENT,P01AI035351,1999,"LETVIN, NORMAN L;"
DESIGN OF NOVEL IMMUNOGENS AND ADJUVANTS FOR HIV VACCINE,P01AI035351,1999,"HAYNES, BARTON F;"
DESIGN OF IMMUNOGENS FOR ANTIHIV T HELPER CELLS AND CTL,P01AI035351,1999,"HAYNES, BARTON F;"
MUCOSAL IMMUNIZATION WITH HIV/SIV VACCINES,P01AI035351,1999,"STAATS, HERMAN F.;"
MUCOSAL IMMUNIZATION WITH HIV/SIV VACCINES,P01AI035351,2000,"STAATS, HERMAN F.;"
DESIGN OF IMMUNOGENS FOR ANTIHIV T HELPER CELLS AND CTL,P01AI035351,2000,"HAYNES, BARTON F;"
DESIGN OF NOVEL IMMUNOGENS AND ADJUVANTS FOR HIV VACCINE,P01AI035351,2000,"HAYNES, BARTON F;"
USE OF THE SHIV AND SIV MODELS OF AIDS FOR HIV VACCINE DEVELOPMENT,P01AI035351,2000,"LETVIN, NORMAN L;"
DESIGN OF IMMUNOGENS FOR ANTIHIV T HELPER CELLS AND CTL,P01AI035351,2001,"HAYNES, BARTON F;"
DESIGN OF NOVEL IMMUNOGENS AND ADJUVANTS FOR HIV VACCINE,P01AI035351,2001,"HAYNES, BARTON F;"
USE OF THE SHIV AND SIV MODELS OF AIDS FOR HIV VACCINE DEVELOPMENT,P01AI035351,2001,"LETVIN, NORMAN L;"
MUCOSAL IMMUNIZATION WITH HIV/SIV VACCINES,P01AI035351,2001,"STAATS, HERMAN F.;"
DESIGN OF NOVEL IMMUNOGENS AND ADJUVANTS FOR HIV VACCINE,P01AI035351,2002,"HAYNES, BARTON F;"
DESIGN OF IMMUNOGENS FOR ANTIHIV T HELPER CELLS AND CTL,P01AI035351,2002,"HAYNES, BARTON F;"
MUCOSAL IMMUNIZATION WITH HIV/SIV VACCINES,P01AI035351,2002,"STAATS, HERMAN F.;"
USE OF THE SHIV AND SIV MODELS OF AIDS FOR HIV VACCINE DEVELOPMENT,P01AI035351,2002,"LETVIN, NORMAN L;"
DESIGN OF NOVEL IMMUNOGENS AND ADJUVANTS FOR HIV VACCINE,P01AI035351,2003,"HAYNES, BARTON F;"
PROTECTIVE EFFICACY OF LIVE ATTENUATED SIV VACCINES,P01AI035365,1998,"WYAND, MICHAEL S;"
MUCOSAL IMMUNE RESPONSE TO LIVE ATTENUATED SIV VACCINE,P01AI035365,1998,"NEUTRA, MARIAN R;"
PROTECTIVE EFFICACY OF LIVE ATTENUATED SIV VACCINES,P01AI035365,1998,"DESROSIERS, RONALD C;"
CORE--SCIENTIFIC CORE,P01AI035365,1998,"DESROSIERS, RONALD C;"
CELLULAR IMMUNE RESPONSES TO LIVE ATTENUATED SIV VACCINES,P01AI035365,1998,"JOHNSON, R. PAUL;"
LIVE ATTENUATED MULTIPLY DELETED HIV1 VACCINE FOR AIDS,P01AI035365,1998,"DESROSIERS, RONALD C;"
MUCOSAL IMMUNE RESPONSE TO LIVE ATTENUATED SIV VACCINE,P01AI035365,1999,"NEUTRA, MARIAN R;"
PROTECTIVE EFFICACY OF LIVE ATTENUATED SIV VACCINES,P01AI035365,1999,"WYAND, MICHAEL S;"
LIVE ATTENUATED MULTIPLY DELETED HIV1 VACCINE FOR AIDS,P01AI035365,1999,"DESROSIERS, RONALD C;"
CELLULAR IMMUNE RESPONSES TO LIVE ATTENUATED SIV VACCINES,P01AI035365,1999,"JOHNSON, R. PAUL;"
MUCOSAL IMMUNE RESPONSE TO LIVE ATTENUATED SIV VACCINE,P01AI035365,2000,"NEUTRA, MARIAN R;"
PROTECTIVE EFFICACY OF LIVE ATTENUATED SIV VACCINES,P01AI035365,2000,"WYAND, MICHAEL S;"
LIVE ATTENUATED MULTIPLY DELETED HIV1 VACCINE FOR AIDS,P01AI035365,2000,"DESROSIERS, RONALD C;"
PROTECTIVE EFFICACY OF LIVE ATTENUATED SIV VACCINES,P01AI035365,2000,"DESROSIERS, RONALD C;"
CELLULAR IMMUNE RESPONSES TO LIVE ATTENUATED SIV VACCINES,P01AI035365,2000,"JOHNSON, R. PAUL;"
CORE--SCIENTIFIC CORE,P01AI035365,2000,"DESROSIERS, RONALD C;"
MUCOSAL IMMUNE RESPONSE TO LIVE ATTENUATED SIV VACCINE,P01AI035365,2001,"NEUTRA, MARIAN R;"
CELLULAR IMMUNE RESPONSES TO LIVE ATTENUATED SIV VACCINES,P01AI035365,2001,"JOHNSON, R. PAUL;"
PROTECTIVE EFFICACY OF LIVE ATTENUATED SIV VACCINES,P01AI035365,2001,"DESROSIERS, RONALD C;"
LIVE ATTENUATED MULTIPLY DELETED HIV1 VACCINE FOR AIDS,P01AI035365,2001,"DESROSIERS, RONALD C;"
CORE--SCIENTIFIC CORE,P01AI035365,2001,"DESROSIERS, RONALD C;"
PROTECTIVE EFFICACY OF LIVE ATTENUATED SIV VACCINES,P01AI035365,2001,"WYAND, MICHAEL S;"
LIVE ATTENUATED MULTIPLY DELETED HIV1 VACCINE FOR AIDS,P01AI035365,2002,"DESROSIERS, RONALD C;"
PROTECTIVE EFFICACY OF LIVE ATTENUATED SIV VACCINES,P01AI035365,2002,"WYAND, MICHAEL S;"
PROTECTIVE EFFICACY OF LIVE ATTENUATED SIV VACCINES,P01AI035365,2002,"DESROSIERS, RONALD C;"
CELLULAR IMMUNE RESPONSES TO LIVE ATTENUATED SIV VACCINES,P01AI035365,2002,"JOHNSON, R. PAUL;"
MUCOSAL IMMUNE RESPONSE TO LIVE ATTENUATED SIV VACCINE,P01AI035365,2002,"NEUTRA, MARIAN R;"
CORE--SCIENTIFIC CORE,P01AI035365,2002,"DESROSIERS, RONALD C;"
LIVE ATTENUATED MULTIPLY DELETED HIV1 VACCINE FOR AIDS,P01AI035365,2004,"DESROSIERS, RONALD C;"
MOLECULAR BIOLOGY AND RECOMBINANT PROTEIN,P01AI035707,2008,"CRAIK, CHARLES SCOTT;"
"ROLE OF THE XLP GENE, SAP, IN T CELL FUNCTIONS",P01AI035714,1999,"TERHORST, CORNELIS P;"
"ROLE OF THE XLP GENE, SAP, IN T CELL FUNCTIONS",P01AI035714,2000,"TERHORST, CORNELIS P;"
"ROLE OF THE XLP GENE, SAP, IN T CELL FUNCTIONS",P01AI035714,2001,"TERHORST, CORNELIS P;"
"ROLE OF THE XLP GENE, SAP, IN T CELL FUNCTIONS",P01AI035714,2002,"TERHORST, CORNELIS P;"
Functions of mucosal IgA in resisting HIV,P01AI036359,2000,"HUANG, YUNG TSUN;"
MUCOSAL IMMUNITY AND INFECTION,P01AI036359,2000,"LAMM, MICHAEL E.;"
MUCOSAL IMMUNITY AND INFECTION,P01AI036359,2001,"LAMM, MICHAEL E.;"
MUCOSAL IMMUNITY AND INFECTION,P01AI036359,2002,"LAMM, MICHAEL E.;"
MUCOSAL IMMUNITY AND INFECTION,P01AI036359,2003,"LAMM, MICHAEL E.;"
MUCOSAL IMMUNITY AND INFECTION,P01AI036359,2004,"LAMM, MICHAEL E.;"
CANDIDA ADHERENCE MYCOLOGY RESEARCH UNIT,P01AI037194,1995,"EDWARDS, JOHN E.;"
MOLECULAR BIOLOGY APPROACH TO CANDIDAL ADHESINS,P01AI037194,1995,"EDWARDS, JOHN E;"
MOLECULAR BIOLOGY APPROACH TO CANDIDAL ADHESINS,P01AI037194,1996,"EDWARDS, JOHN E.;"
CANDIDA ADHERENCE MYCOLOGY RESEARCH UNIT,P01AI037194,1997,"EDWARDS, JOHN E.;"
MOLECULAR BIOLOGY APPROACH TO CANDIDAL ADHESINS,P01AI037194,1997,"EDWARDS, JOHN E.;"
MOLECULAR BIOLOGY APPROACH TO CANDIDAL ADHESINS,P01AI037194,1998,"EDWARDS, JOHN E.;"
CANDIDA ADHERENCE MYCOLOGY RESEARCH UNIT,P01AI037194,1998,"EDWARDS, JOHN E.;"
CANDIDA VIRULENCE DETERMINANTS AND HOST RESPONSE IN AIDS,P01AI037251,1995,"CALDERONE, RICHARD ARTHUR;"
HOST-C ALBICANS INTERACTION AT MUCOSAL SURFACES IN AIDS,P01AI037251,1995,"COLE, MICHAEL;"
CANDIDA VIRULENCE DETERMINANTS AND HOST RESPONSE IN AIDS,P01AI037251,1996,"CALDERONE, RICHARD ARTHUR;"
HOST-C ALBICANS INTERACTION AT MUCOSAL SURFACES IN AIDS,P01AI037251,1996,"COLE, MICHAEL F.;"
CANDIDA VIRULENCE DETERMINANTS AND HOST RESPONSE IN AIDS,P01AI037251,1996,"CALDERONE, RICHARD ARTHUR;"
HOST-C ALBICANS INTERACTION AT MUCOSAL SURFACES IN AIDS,P01AI037251,1997,"COLE, MICHAEL F.;"
CANDIDA VIRULENCE DETERMINANTS AND HOST RESPONSE IN AIDS,P01AI037251,1997,"CALDERONE, RICHARD ARTHUR;"
CANDIDA VIRULENCE DETERMINANTS AND HOST RESPONSE IN AIDS,P01AI037251,1998,"CALDERONE, RICHARD ARTHUR;"
HOST-C ALBICANS INTERACTION AT MUCOSAL SURFACES IN AIDS,P01AI037251,1998,"COLE, MICHAEL F.;"
ANALYSIS OF MICROBICIDES IN MODEL SYSTEMS,P01AI037829,1995,"HEYNER, SUSAN;"
MICROBICIDES IN MODEL SYSTEMS,P01AI037829,1995,"KREIDER, JOHN W;"
